,,,,-0.007,
high,12:51:00 PM,,Temp,200.0,
12:51:00 PM,0.00,0,59,58.7,
12:54:00 PM,3.00,2,62,62.9,
1:02:00 PM,11.00,11,65,73.5,
1:28:00 PM,37.00,37,86,104.3,
1:54:00 PM,63.00,63,110,130.0,
2:03:00 PM,72.00,72,117,137.9,
2:54:00 PM,123.00,123,153,174.2,
3:27:00 PM,156.00,156,174,191.6,
3:52:00 PM,181.00,181,187,202.4,
Off,,,,,
5:17:00 PM,266.00,266,158,160.3,85
5:35:00 PM,284.00,284,153,147.3,103
5:44:00 PM,293.00,293,151,141.3,112
5:52:00 PM,301.00,301,148,136.3,120
6:06:00 PM,315.00,315,144,128.3,134
6:12:00 PM,321.00,321,144,125.1,140
6:39:00 PM,348.00,348,137,112.1,167
6:50:00 PM,359.00,359,135,107.5,178
8:10:00 PM,439.00,439,121,82.9,258
8:21:00 PM,450.00,450,120,80.4,269
9:11:00 PM,500.00,500,114,71.4,319